City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Salto,100,BR,1573148510,57,-23.2,-47.29,88.0,8.08
Flinders,2,AU,1573148511,30,-34.58,150.85,69.8,13.87
Albany,90,US,1573148511,70,42.65,-73.75,46.99,3.36
Atambua,53,ID,1573148511,84,-9.11,124.89,74.62,3.06
Mataura,34,NZ,1573148511,84,-46.19,168.86,53.01,4.0
Castro,74,CL,1573148511,49,-42.48,-73.76,53.67,5.5
Vaini,60,IN,1573148511,97,15.34,74.49,66.51,2.59
Qaanaaq,2,GL,1573148511,72,77.48,-69.36,-1.54,4.05
Kodinsk,100,RU,1573148512,96,58.6,99.18,29.32,9.33
Punta Arenas,85,CL,1573148512,72,-53.16,-70.91,43.2,26.82
Lamar,90,US,1573148512,80,38.09,-102.62,33.8,5.82
San Patricio,68,PY,1573148512,61,-26.98,-56.83,86.04,7.74
Poninka,100,UA,1573148512,91,50.19,27.56,49.03,9.86
Cap Malheureux,14,MU,1573148512,80,-19.98,57.61,75.0,5.01
Avarua,11,CK,1573148513,88,-21.21,-159.78,73.4,5.82
Georgetown,40,GY,1573148513,74,6.8,-58.16,86.0,11.41
Bushehr,26,IR,1573148513,61,28.97,50.84,78.8,4.7
Mantua,75,IT,1573148513,93,45.16,10.79,54.0,3.36
Walvis Bay,0,NA,1573148513,56,-22.95,14.51,68.0,12.75
Faanui,74,PF,1573148513,79,-16.48,-151.75,80.62,21.03
Tiksi,99,RU,1573148513,97,71.64,128.87,-6.99,4.79
Jamestown,92,AU,1573148514,76,-33.21,138.6,52.25,21.54
Mahebourg,16,MU,1573148514,80,-20.41,57.7,75.0,5.01
Codrington,75,AU,1573148514,58,-28.95,153.24,66.2,9.17
Bluff,0,AU,1573148514,57,-23.58,149.07,64.67,2.28
Nishihara,1,JP,1573148514,62,35.74,139.53,62.6,4.7
Ushuaia,75,AR,1573148514,89,-54.81,-68.31,41.0,27.51
Dunmore East,75,IE,1573148515,93,52.15,-6.99,46.0,18.34
Nuuk,75,GL,1573148515,43,64.17,-51.74,35.6,19.46
Touros,40,BR,1573148515,55,-5.2,-35.46,86.0,18.34
Chokurdakh,100,RU,1573148515,95,70.62,147.9,7.59,7.92
Thompson,20,CA,1573148315,72,55.74,-97.86,12.2,8.05
Acapulco,5,MX,1573148298,59,16.86,-99.88,89.6,5.23
Charters Towers,0,AU,1573148516,92,-20.07,146.27,60.55,3.51
Hermanus,66,ZA,1573148516,80,-34.42,19.24,60.01,10.83
Mbanza-Ngungu,71,CD,1573148516,93,-5.25,14.87,72.9,3.91
Iqaluit,20,CA,1573148516,72,63.75,-68.52,10.4,18.34
Vao,99,EE,1573148516,92,59.1,26.19,31.19,6.4
Kenai,90,US,1573148517,86,60.55,-151.26,41.0,8.05
Kloulklubed,90,PW,1573148517,83,7.04,134.26,80.6,10.29
El Alto,75,BO,1573148517,58,-16.5,-68.19,55.4,11.41
Kodiak,1,US,1573148517,42,39.95,-94.76,30.99,6.93
Dingle,4,PH,1573148517,91,11.0,122.67,73.15,5.61
Lorengau,100,PG,1573148517,76,-2.02,147.27,83.1,13.15
Yellowknife,90,CA,1573148278,85,62.45,-114.38,19.4,14.99
Saint-Philippe,90,CA,1573148518,83,45.36,-73.48,34.0,6.93
Tazovskiy,100,RU,1573148518,95,67.47,78.7,5.88,9.31
General Bravo,59,MX,1573148518,49,25.79,-99.18,87.85,12.48
Saint George,40,GR,1573148518,72,39.45,22.34,66.2,6.93
Tuktoyaktuk,75,CA,1573148518,85,69.44,-133.03,15.8,18.34
Airai,2,TL,1573148518,77,-8.93,125.41,65.17,3.36
Hithadhoo,66,MV,1573148518,70,-0.6,73.08,82.45,9.95
Imeni Babushkina,99,RU,1573148519,95,59.76,43.13,15.37,4.38
Epe,20,DE,1573148519,81,52.18,7.04,48.2,10.29
Sechura,68,PE,1573148519,94,-5.56,-80.82,62.15,15.66
Manokwari,59,ID,1573148519,80,-0.87,134.08,72.75,4.43
Todos Santos,40,MX,1573148519,37,23.45,-110.23,89.01,10.29
Cabo San Lucas,75,MX,1573148402,51,22.89,-109.91,88.0,2.24
Khatanga,0,RU,1573148520,85,71.98,102.47,-10.74,10.33
Pemba,75,MZ,1573148520,94,-12.97,40.52,80.6,6.93
Rorvik,40,NO,1573148520,79,64.86,11.24,26.6,3.36
Camacupa,86,AO,1573148520,86,-12.02,17.48,66.24,4.97
Anadyr,19,RU,1573148521,85,64.73,177.51,14.0,8.95
Busselton,0,AU,1573148521,52,-33.64,115.35,55.99,14.83
Ballina,75,IE,1573148521,87,54.11,-9.15,46.0,8.05
Broome,40,GB,1573148521,93,52.47,1.45,46.4,6.93
Huilong,49,CN,1573148521,73,31.15,106.5,60.55,2.71
Souillac,100,FR,1573148522,87,45.6,-0.6,48.2,13.87
East London,20,ZA,1573148522,63,-33.02,27.91,64.4,19.46
Luderitz,0,NA,1573148522,74,-26.65,15.16,59.04,35.34
Provideniya,1,RU,1573148522,84,64.42,-173.23,19.94,14.18
Rikitea,33,PF,1573148522,79,-23.12,-134.97,75.74,4.7
Barrow,1,AR,1573148523,36,-38.31,-60.23,63.63,13.02
Benguela,77,AO,1573148523,81,-12.58,13.4,78.6,7.43
Oranjemund,16,ZA,1573148523,67,-28.55,16.43,58.84,23.51
Dikson,11,RU,1573148523,96,73.51,80.55,-11.78,14.56
Kapaa,1,US,1573148523,94,22.08,-159.32,69.8,5.82
Ranong,91,TH,1573148523,80,9.96,98.62,81.52,8.57
Orange Cove,1,US,1573148524,36,36.62,-119.31,75.99,2.48
North Bend,1,US,1573148524,93,43.41,-124.22,52.0,4.05
Arraial do Cabo,75,BR,1573148524,73,-22.97,-42.02,77.0,12.75
Zyryanovsk,68,KZ,1573148524,86,49.74,84.27,26.85,2.46
